"$D1 [mm]","$D2 [mm]","$Lateral [mm]","Freq [GHz]","VSWR(1) []"
0.625,5.625,90,1.8,1.49560592988356
0.625,5.625,100,1.8,1.4821507292333
1.625,-0.4,10,1.8,3.54127664355335
1.625,-0.4,20,1.8,3.5375387939744
1.625,-0.4,30,1.8,3.52993954925757
1.625,-0.4,40,1.8,3.54970383933451
1.625,-0.4,50,1.8,3.50764758338202
1.625,-0.4,60,1.8,3.47817665855122
1.625,-0.4,70,1.8,3.50841493323396
1.625,-0.4,80,1.8,3.57361959977258
1.625,-0.4,90,1.8,3.56248899751176
1.625,-0.4,100,1.8,3.54520118191343
1.625,-0.375,10,1.8,3.04299623226695
1.625,-0.375,20,1.8,3.02548354627401
1.625,-0.375,30,1.8,3.00838342330621
1.625,-0.375,40,1.8,2.99667004561799
1.625,-0.375,50,1.8,2.98142162467504
1.625,-0.375,60,1.8,2.97758043864923
1.625,-0.375,70,1.8,2.98308522399279
1.625,-0.375,80,1.8,2.99926431586339
1.625,-0.375,90,1.8,3.0094978440128
1.625,-0.375,100,1.8,3.02989511021009
1.625,0.625,10,1.8,1.36132141153641
1.625,0.625,20,1.8,1.36521275029523
1.625,0.625,30,1.8,1.35586762577599
1.625,0.625,40,1.8,1.35296976981309
1.625,0.625,50,1.8,1.34627882126946
1.625,0.625,60,1.8,1.33222949314837
1.625,0.625,70,1.8,1.34777471438296
1.625,0.625,80,1.8,1.36580696128977
1.625,0.625,90,1.8,1.3645069434841
1.625,0.625,100,1.8,1.37184616230971
1.625,1.625,10,1.8,1.21873051840985
1.625,1.625,20,1.8,1.22119169735462
1.625,1.625,30,1.8,1.21126671682274
1.625,1.625,40,1.8,1.19718155070452
1.625,1.625,50,1.8,1.19763535068629
1.625,1.625,60,1.8,1.19383725505733
1.625,1.625,70,1.8,1.21341054224025
1.625,1.625,80,1.8,1.22123729665086
1.625,1.625,90,1.8,1.22885198039438
1.625,1.625,100,1.8,1.21362545263546
1.625,2.625,10,1.8,1.1881098666381
1.625,2.625,20,1.8,1.17577776617869
1.625,2.625,30,1.8,1.17754366175297
1.625,2.625,40,1.8,1.17117121356487
1.625,2.625,50,1.8,1.17224058303872
1.625,2.625,60,1.8,1.15860802588183
1.625,2.625,70,1.8,1.17327301711572
1.625,2.625,80,1.8,1.19003063346485
1.625,2.625,90,1.8,1.1958081755903
1.625,2.625,100,1.8,1.19586091972149
1.625,3.625,10,1.8,1.34302666332212
1.625,3.625,20,1.8,1.14183316129647
1.625,3.625,30,1.8,1.15725688877159
1.625,3.625,40,1.8,1.15577318780086
1.625,3.625,50,1.8,1.16047955367099
1.625,3.625,60,1.8,1.14623613991619
1.625,3.625,70,1.8,1.16373942438603
1.625,3.625,80,1.8,1.17459218260212
1.625,3.625,90,1.8,1.19383244984725
1.625,3.625,100,1.8,1.17899411559861
1.625,4.625,10,1.8,1.19531393160811
1.625,4.625,20,1.8,1.18552662774489
1.625,4.625,30,1.8,1.16860190773696
1.625,4.625,40,1.8,1.17423008004189
1.625,4.625,50,1.8,1.16594185822713
1.625,4.625,60,1.8,1.17414152636987
1.625,4.625,70,1.8,1.17264083605496
1.625,4.625,80,1.8,1.16398470474367
1.625,4.625,90,1.8,1.19272520811997
1.625,4.625,100,1.8,1.19040357785315
1.625,5.625,10,1.8,1.18223763054046
1.625,5.625,20,1.8,1.18060702561499
1.625,5.625,30,1.8,1.17083844959101
1.625,5.625,40,1.8,1.16001838785645
1.625,5.625,50,1.8,1.16853297671803
1.625,5.625,60,1.8,1.17069785743725
1.625,5.625,70,1.8,1.16069612595217
1.625,5.625,80,1.8,1.21224385029499
1.625,5.625,90,1.8,1.18594708927547
1.625,5.625,100,1.8,1.18729646482283
2.625,-0.4,10,1.8,3.45650616388009
2.625,-0.4,20,1.8,3.42493457900311
2.625,-0.4,30,1.8,3.44225164244498
2.625,-0.4,40,1.8,3.40496846308086
2.625,-0.4,50,1.8,3.38736543523679
2.625,-0.4,60,1.8,3.38691202015913
2.625,-0.4,70,1.8,3.40880266550269
2.625,-0.4,80,1.8,3.41873157237102
2.625,-0.4,90,1.8,3.46308420962527
2.625,-0.4,100,1.8,3.42537031968481
2.625,-0.375,10,1.8,2.90273661597453
2.625,-0.375,20,1.8,2.90018565047051
2.625,-0.375,30,1.8,2.87585973188709
2.625,-0.375,40,1.8,2.86715108227014
2.625,-0.375,50,1.8,2.85853694369301
2.625,-0.375,60,1.8,2.83441331071914
2.625,-0.375,70,1.8,2.85085659058721
2.625,-0.375,80,1.8,2.87563705783854
2.625,-0.375,90,1.8,2.91256408762458
2.625,-0.375,100,1.8,3.00298631681476
2.625,0.625,10,1.8,1.26487142084106
2.625,0.625,20,1.8,1.26521211099829
2.625,0.625,30,1.8,1.26507157879172
2.625,0.625,40,1.8,1.2463243801957
