"$D1 [mm]","$D2 [mm]","$Lateral [mm]","Freq [GHz]","S(1,1) []"
0.625,-0.375,40,1.8,-0.0280869361016472 - 0.563673933082524i
0.625,-0.375,50,1.8,0.369168623045427 - 0.422108189097853i
0.625,-0.375,60,1.8,0.559396613501295 - 0.0531784646338753i
0.625,-0.375,70,1.8,0.444758941932057 + 0.348781651433098i
0.625,-0.375,80,1.8,0.0831065430744211 + 0.561698617354573i
0.625,-0.375,90,1.8,-0.322443678739068 + 0.467886117832628i
0.625,-0.375,100,1.8,-0.556113220573909 + 0.121606090240054i
0.625,0.625,10,1.8,-0.283785132744351 + 0.06229328770526i
0.625,0.625,20,1.8,-0.24948047216211 - 0.144685811755229i
0.625,0.625,30,1.8,-0.0798624138577037 - 0.274115239418819i
0.625,0.625,40,1.8,0.125996698450605 - 0.253596530258796i
0.625,0.625,50,1.8,0.0230689863591498 - 0.993262919743348i
0.625,0.625,60,1.8,0.256450828263491 + 0.117825566228031i
0.625,0.625,70,1.8,0.106461356237398 + 0.26752739048128i
0.625,0.625,80,1.8,-0.106823451753872 + 0.267991783639795i
0.625,0.625,90,1.8,-0.269665625828338 + 0.128141594097649i
0.625,0.625,100,1.8,-0.280361874695465 - 0.0837256953302555i
0.625,1.625,10,1.8,-0.247295348088743 + 0.0217256710880291i
0.625,1.625,20,1.8,-0.198002874262621 - 0.154423964987798i
0.625,1.625,30,1.8,-0.0381817960038869 - 0.243385855633822i
0.625,1.625,40,1.8,0.138029166652309 - 0.20003859809313i
0.625,1.625,50,1.8,0.241085291730676 - 0.048286973179448i
0.625,1.625,60,1.8,0.200133030099432 + 0.132836060778088i
0.625,1.625,70,1.8,0.0578249803526916 + 0.238889309109859i
0.625,1.625,80,1.8,-0.12225957427232 + 0.213405520267974i
0.625,1.625,90,1.8,-0.241311404908152 + 0.077558815761428i
0.625,1.625,100,1.8,-0.226778219428859 - 0.106045027795447i
0.625,2.625,10,1.8,-0.235087441526943 + 0.0106770742057289i
0.625,2.625,20,1.8,-0.177725008348634 - 0.15604889806357i
0.625,2.625,30,1.8,-0.0244875684680306 - 0.230228875962539i
0.625,2.625,40,1.8,0.140864618526433 - 0.179778449681797i
0.625,2.625,50,1.8,0.219358978421397 - 0.0315873355368103i
0.625,2.625,60,1.8,0.188156174924598 + 0.135128480548706i
0.625,2.625,70,1.8,0.0422511560172551 + 0.228656902409971i
0.625,2.625,80,1.8,-0.128199882802649 + 0.200091324799689i
0.625,2.625,90,1.8,-0.231345089503548 + 0.0583194669444138i
0.625,2.625,100,1.8,-0.13348700655398 + 0.962546586307866i
0.625,3.625,10,1.8,-0.233449119225888 + 0.0019635380670005i
0.625,3.625,20,1.8,-0.180697074420799 - 0.149845752551629i
0.625,3.625,30,1.8,-0.0202264174844909 - 0.228309937445885i
0.625,3.625,40,1.8,0.1411259013524 - 0.173343361034805i
0.625,3.625,50,1.8,0.220916659255309 - 0.0262666973484655i
0.625,3.625,60,1.8,0.181192182355297 + 0.138066868648245i
0.625,3.625,70,1.8,0.030771734662677 + 0.223208087655806i
0.625,3.625,80,1.8,-0.129889372544748 + 0.19224815881342i
0.625,3.625,90,1.8,-0.225235087054216 + 0.0564455881176049i
0.625,3.625,100,1.8,-0.20812759947352 - 0.111695176241635i
0.625,4.625,10,1.8,-0.189131724378318 + 0.0390805213038347i
0.625,4.625,20,1.8,-0.172596978694882 - 0.101451492378219i
0.625,4.625,30,1.8,-0.0516453003403419 - 0.18226993459247i
0.625,4.625,40,1.8,0.108695346673069 - 0.153049047526244i
0.625,4.625,50,1.8,0.182802684034332 - 0.0393681268027284i
0.625,4.625,60,1.8,0.161023448808111 + 0.0941869704011707i
0.625,4.625,70,1.8,0.0470443757384951 + 0.183308790552068i
0.625,4.625,80,1.8,-0.0862356780024769 + 0.170172320088422i
0.625,4.625,90,1.8,-0.194902786202055 + 0.0833457855025128i
0.625,4.625,100,1.8,-0.176953002475653 - 0.080088324061655i
0.625,5.625,10,1.8,-0.191083295224942 + 0.0365205668952215i
0.625,5.625,20,1.8,-0.161531028535967 - 0.105689550087427i
0.625,5.625,30,1.8,-0.0569760892914037 - 0.188475740078706i
0.625,5.625,40,1.8,0.0273802534806069 - 0.176666341128652i
0.625,5.625,50,1.8,0.180123463317992 - 0.0522940048068757i
0.625,5.625,60,1.8,0.172077387001824 + 0.0826391126914458i
0.625,5.625,70,1.8,0.0574459089312465 + 0.182046362662881i
0.625,5.625,80,1.8,-0.074182452179167 + 0.181709915079295i
0.625,5.625,90,1.8,-0.180247156011176 + 0.083363754503328i
0.625,5.625,100,1.8,-0.182079765539398 - 0.0676677031778457i
1.625,-0.4,10,1.8,-0.253505707379201 + 0.498880398555544i
1.625,-0.4,20,1.8,-0.53488349752657 + 0.163219306517622i
1.625,-0.4,30,1.8,-0.498375691527265 - 0.252063694761548i
1.625,-0.4,40,1.8,-0.194640401959174 - 0.525524066028943i
1.625,-0.4,50,1.8,0.218403921512237 - 0.511644493844743i
1.625,-0.4,60,1.8,0.507296862439434 - 0.22111085266845i
1.625,-0.4,70,1.8,0.52105869168328 + 0.195095435974722i
1.625,-0.4,80,1.8,0.252422499207296 + 0.502916456385656i
1.625,-0.4,90,1.8,-0.165270688193394 + 0.536775754187349i
1.625,-0.4,100,1.8,-0.485752950370775 + 0.278597562112085i
1.625,-0.375,10,1.8,-0.284674436180619 + 0.417499834878025i
1.625,-0.375,20,1.8,-0.486663836795726 + 0.127802999171573i
1.625,-0.375,30,1.8,-0.43307785600503 - 0.251973015228329i
1.625,-0.375,40,1.8,-0.138473682340589 - 0.480008980897328i
1.625,-0.375,50,1.8,0.23002018358746 - 0.441319640715475i
1.625,-0.375,60,1.8,0.470303429281309 - 0.161258754143713i
1.625,-0.375,70,1.8,0.452641597328517 + 0.207356617893831i
1.625,-0.375,80,1.8,0.18551302368903 + 0.464212181085267i
1.625,-0.375,90,1.8,-0.182069804193902 + 0.466943687604876i
1.625,-0.375,100,1.8,-0.454069790205861 + 0.218044836741028i
1.625,0.625,10,1.8,-0.138245994011301 + 0.0655906235150705i
1.625,0.625,20,1.8,-0.147114975767238 - 0.0469005819207776i
1.625,0.625,30,1.8,-0.0734817842815061 - 0.131978415694288i
1.625,0.625,40,1.8,0.0327967749229263 - 0.146381250258304i
1.625,0.625,50,1.8,0.12245627943516 - 0.0823784082956205i
1.625,0.625,60,1.8,0.139255443491915 + 0.0300056581730679i
1.625,0.625,70,1.8,0.0810729844512723 + 0.123973878154029i
1.625,0.625,80,1.8,-0.0337818722338934 + 0.150887041427203i
1.625,0.625,90,1.8,-0.121531371162905 + 0.0948405038826943i
1.625,0.625,100,1.8,-0.156229134199073 - 0.0130711757969185i
1.625,1.625,10,1.8,-0.0972368985742792 + 0.0162394131842872i
1.625,1.625,20,1.8,-0.0854452644377373 - 0.0511445979248109i
1.625,1.625,30,1.8,-0.0228025899189662 - 0.092780018233916i
1.625,1.625,40,1.8,0.0413579308783496 - 0.0796449518501842i
1.625,1.625,50,1.8,0.085808907881388 - 0.0269146838847819i
1.625,1.625,60,1.8,0.0778672739167394 + 0.0417535058168457i
1.625,1.625,70,1.8,0.0272987466568155 + 0.0924717705123193i
1.625,1.625,80,1.8,-0.0418983542473179 + 0.090359685830003i
1.625,1.625,90,1.8,-0.0945761280526056 + 0.0399741885054546i
1.625,1.625,100,1.8,-0.091099526397115 - 0.0318441547133799i
1.625,2.625,10,1.8,-0.08590079458899 + 0.00342666839845437i
1.625,2.625,20,1.8,-0.0632011243918773 - 0.0503229118572596i
1.625,2.625,30,1.8,-0.00983895967410331 - 0.0809380893773151i
1.625,2.625,40,1.8,0.0447812924951552 - 0.0648852556542824i
1.625,2.625,50,1.8,0.0783014292374733 - 0.0124922007350987i
1.625,2.625,60,1.8,0.0587317069022575 + 0.0441526334622747i
1.625,2.625,70,1.8,0.0122645076210843 + 0.0787801055649211i
1.625,2.625,80,1.8,-0.0522948579113713 + 0.0692417034506603i
1.625,2.625,90,1.8,-0.0860019230429294 + 0.0235712683358214i
1.625,2.625,100,1.8,-0.0783170034515104 - 0.0426882274625191i
1.625,3.625,10,1.8,-0.143806226068595 + 0.0274531251052792i
1.625,3.625,20,1.8,-0.0502287781167707 - 0.043153426156893i
1.625,3.625,30,1.8,-0.00770260648189924 - 0.0724886019198526i
1.625,3.625,40,1.8,0.0460820559227795 - 0.0556574502156505i
1.625,3.625,50,1.8,0.0740823806521567 - 0.00540921624516321i
1.625,3.625,60,1.8,0.0506191110553116 + 0.0456095650925022i
1.625,3.625,70,1.8,0.0168543271085644 + 0.0737734939177088i
1.625,3.625,80,1.8,-0.0488954954177839 + 0.0636811164192757i
1.625,3.625,90,1.8,-0.0871633641316563 + 0.014452082776823i
1.625,3.625,100,1.8,-0.0719349144466664 - 0.0396638079660176i
1.625,4.625,10,1.8,-0.0888290314324172 + 0.00498084786700026i
1.625,4.625,20,1.8,-0.0673730202127556 - 0.051642776378684i
1.625,4.625,30,1.8,-0.0118812121365225 - 0.0768336203576585i
1.625,4.625,40,1.8,0.047952928076985 - 0.064202793823139i
1.625,4.625,50,1.8,0.0759268470042991 - 0.0102394530315276i
1.625,4.625,60,1.8,0.0655531612834839 + 0.0460245782293251i
1.625,4.625,70,1.8,0.0100359138588935 + 0.0788249737963826i
