"$D1 [mm]","$D2 [mm]","$Lateral [mm]","Freq [GHz]","S(1,1) []"
4.625,0.625,100,1.8,-0.096579667663848 + 0.0283471518499847i
4.625,1.625,10,1.8,-0.0272847441948447 + 0.0220730882540277i
4.625,1.625,20,1.8,-0.0353517892119186 + 0.00285028563946676i
4.625,1.625,30,1.8,-0.0305983136626232 - 0.0196505845943007i
4.625,1.625,40,1.8,-0.00875504460085474 - 0.0295475953970632i
4.625,1.625,50,1.8,0.0116683048068673 - 0.0232666441515502i
4.625,1.625,60,1.8,0.0294815711326333 - 0.00141735964206416i
4.625,1.625,70,1.8,0.023654756361839 + 0.0190817091712775i
4.625,1.625,80,1.8,0.00639719942434347 + 0.0318434686204589i
4.625,1.625,90,1.8,-0.0208417225152229 + 0.0283274741207525i
4.625,1.625,100,1.8,-0.0344422647674972 + 0.00589426676495156i
4.625,2.625,10,1.8,-0.0256802218796427 + 0.0214591755432267i
4.625,2.625,20,1.8,-0.0162803487965889 - 0.000368691757093642i
4.625,2.625,30,1.8,-0.0183973291120486 - 0.00651882910773117i
4.625,2.625,40,1.8,-0.0030797708919772 - 0.0102516455197959i
4.625,2.625,50,1.8,0.000393498911104295 - 0.00329655254984396i
4.625,2.625,60,1.8,0.00765190680371841 + 0.000653177301911029i
4.625,2.625,70,1.8,0.00485925197566051 + 0.00696622499338614i
4.625,2.625,80,1.8,-0.00332801969046415 + 0.0100120512676587i
4.625,2.625,90,1.8,-0.0113585986191399 + 0.00844110952013399i
4.625,2.625,100,1.8,-0.0136635446556373 + 0.00728761551984522i
4.625,3.625,10,1.8,-0.0078652078505721 + 0.00310133742335694i
4.625,3.625,20,1.8,-0.00951328203810597 + 0.00362966373510509i
4.625,3.625,30,1.8,-0.0063693733513781 - 0.00273916528643666i
4.625,3.625,40,1.8,-0.00356684769150717 - 0.00275884288845507i
4.625,3.625,50,1.8,0.000318372149857193 - 0.00145932369302709i
4.625,3.625,60,1.8,-0.00575897387546487 + 0.00206586869410172i
4.625,3.625,70,1.8,-0.00125078614709229 + 0.00135860049702088i
4.625,3.625,80,1.8,-0.00516651318910855 + 0.0024708529198641i
4.625,3.625,90,1.8,-0.0120357410491695 + 0.00239735947465694i
4.625,3.625,100,1.8,-0.0185376074278135 - 0.00110811760109919i
4.625,4.625,10,1.8,-0.0092433727322897 + 0.003114398715302i
4.625,4.625,20,1.8,-0.00438541534514591 + 0.0195119065102174i
4.625,4.625,30,1.8,-0.0110051081072626 + 0.00302061959366635i
4.625,4.625,40,1.8,-0.00195920114147363 - 0.000983869777471474i
4.625,4.625,50,1.8,-0.00865236728581043 + 0.00218444740070292i
4.625,4.625,60,1.8,-0.000288451380096366 + 0.000543280480708286i
4.625,4.625,70,1.8,-0.00485428535093613 + 0.00124948979740816i
4.625,4.625,80,1.8,-0.0175838819529376 - 0.00382130100999946i
4.625,4.625,90,1.8,-0.0145056903692112 + 0.00202415026223793i
4.625,4.625,100,1.8,-0.00413341945198165 + 0.00234520456108578i
4.625,5.625,10,1.8,-0.0107151369280509 + 0.000700964885730993i
4.625,5.625,20,1.8,-0.00693067568669192 + 0.000848123439267046i
4.625,5.625,30,1.8,-0.00715443620766354 - 0.000383533251063726i
4.625,5.625,40,1.8,-0.00675857773688127 + 0.00288834222424342i
4.625,5.625,50,1.8,-0.00115195374758215 + 0.00148266675844863i
4.625,5.625,60,1.8,-0.00100651236206062 + 0.00220497246133148i
4.625,5.625,70,1.8,-0.00256580737793344 + 0.00173556143046824i
4.625,5.625,80,1.8,-0.00537593586542939 + 0.000470100234745002i
4.625,5.625,90,1.8,-0.00913919237584027 - 0.000531055193103369i
4.625,5.625,100,1.8,-0.00527955050818207 - 0.000237350927931035i
5.625,-0.4,10,1.8,-0.165633581584877 + 0.531709245022397i
5.625,-0.4,20,1.8,-0.49205910138429 + 0.267892461761605i
5.625,-0.4,30,1.8,-0.534325932039849 - 0.152110010306609i
5.625,-0.4,40,1.8,-0.282568569957791 - 0.478520156389202i
5.625,-0.4,50,1.8,0.122644986863575 - 0.537628266565592i
5.625,-0.4,60,1.8,0.456477935163548 - 0.30722103457126i
5.625,-0.4,70,1.8,0.543443214445668 + 0.0955826546630968i
5.625,-0.4,80,1.8,0.329188518256428 + 0.445978858513736i
5.625,-0.4,90,1.8,-0.0687198427049318 + 0.563500802852074i
5.625,-0.4,100,1.8,-0.429260825218943 + 0.378337479196277i
5.625,-0.375,10,1.8,-0.195800734672749 + 0.456535331951394i
5.625,-0.375,20,1.8,-0.450663472059439 + 0.225833314952034i
5.625,-0.375,30,1.8,-0.46011124420284 - 0.166843695087059i
5.625,-0.375,40,1.8,-0.22238291444571 - 0.433603788172952i
5.625,-0.375,50,1.8,0.142477034453124 - 0.465658423405637i
5.625,-0.375,60,1.8,0.422098528114196 - 0.238046332381864i
5.625,-0.375,70,1.8,0.470083023172281 + 0.120525658428369i
5.625,-0.375,80,1.8,0.261392152296605 + 0.413261162856636i
5.625,-0.375,90,1.8,-0.0913238812668158 + 0.481728300543943i
5.625,-0.375,100,1.8,-0.400395515650956 + 0.293675821810143i
5.625,0.625,10,1.8,-0.0642086360039644 + 0.0732141463325805i
5.625,0.625,20,1.8,-0.105833110763876 + 0.013088696391321i
5.625,0.625,30,1.8,-0.0791896612521357 - 0.0596681826700977i
5.625,0.625,40,1.8,-0.0166166214534797 - 0.0948224699478776i
5.625,0.625,50,1.8,0.0536866582246271 - 0.0760005196126941i
5.625,0.625,60,1.8,0.086959090308423 - 0.0168773183177927i
5.625,0.625,70,1.8,0.0723093477568153 + 0.0501538419593521i
5.625,0.625,80,1.8,0.0192896271783058 + 0.0925281896682788i
5.625,0.625,90,1.8,-0.0528349442288547 + 0.0819446175426131i
5.625,0.625,100,1.8,-0.099166101242615 + 0.0315406516199828i
5.625,1.625,10,1.8,-0.0277030470423467 + 0.0243945110002802i
5.625,1.625,20,1.8,-0.0349298676983455 + 0.00225459652848356i
5.625,1.625,30,1.8,-0.0511099516819679 - 0.0135127616513232i
5.625,1.625,40,1.8,-0.0085136152710612 - 0.0275860041788858i
5.625,1.625,50,1.8,0.0132630080152172 - 0.0219985478236947i
5.625,1.625,60,1.8,0.027941967011947 - 0.00391919724992507i
5.625,1.625,70,1.8,0.0239040221383089 + 0.0186634184738901i
5.625,1.625,80,1.8,-0.000567268102321661 + 0.0280508996443719i
5.625,1.625,90,1.8,-0.0213160480193227 + 0.0257855417719664i
5.625,1.625,100,1.8,-0.0297064183918192 + 0.00990115437059829i
5.625,2.625,10,1.8,-0.0108707694075797 + 0.00782296934495078i
5.625,2.625,20,1.8,-0.0119977421470463 + 0.0054758483629273i
5.625,2.625,30,1.8,-0.0148949046126968 - 0.00257101237422644i
5.625,2.625,40,1.8,-0.00411517447555843 - 0.00996613795504903i
5.625,2.625,50,1.8,-0.00277578464786399 - 0.00611005216197577i
5.625,2.625,60,1.8,0.00431921505741961 - 0.00177447270208953i
5.625,2.625,70,1.8,-0.00308202536419855 + 0.00507691886212872i
5.625,2.625,80,1.8,-0.0588417450363498 - 0.00637879833820018i
5.625,2.625,90,1.8,-0.0137029462337174 + 0.00291124002878271i
5.625,2.625,100,1.8,-0.0164221711152823 + 0.00374927886730147i
5.625,3.625,10,1.8,-0.00775691632637021 - 0.000333735741014196i
5.625,3.625,20,1.8,-0.04648643292933 + 0.0274067891108473i
5.625,3.625,30,1.8,-0.00560520080973881 - 0.00162624012914286i
5.625,3.625,40,1.8,-0.003939766436036 - 0.00271482391676914i
5.625,3.625,50,1.8,-0.00295870827880129 - 0.000418992300604688i
5.625,3.625,60,1.8,6.64153591662942E-05 + 0.000247150536802201i
5.625,3.625,70,1.8,-0.00394739008124156 - 0.000391611054801372i
5.625,3.625,80,1.8,-0.00602189221532701 + 0.00371634291672802i
5.625,3.625,90,1.8,-0.00790927229109362 + 0.00187334797951064i
5.625,3.625,100,1.8,-0.00766365012498726 + 0.00181127541050186i
5.625,4.625,10,1.8,-0.00311785496022365 + 0.00150470717111942i
5.625,4.625,20,1.8,-0.00382813387872227 + 0.00203229169635488i
5.625,4.625,30,1.8,-0.00316475761135016 - 0.000912603197002482i
5.625,4.625,40,1.8,-0.00834906308530714 + 0.00199872226358388i
5.625,4.625,50,1.8,-0.0660662093743437 + 0.00555454910138975i
5.625,4.625,60,1.8,-0.00292716498191226 + 0.00108975045580156i
5.625,4.625,70,1.8,-0.00301534280396198 + 0.0009431817085015i
5.625,4.625,80,1.8,-0.00923850858333142 - 0.00286365436773629i
5.625,4.625,90,1.8,-0.00946232809273984 + 0.00344100375649775i
5.625,4.625,100,1.8,-0.00883788386028506 - 0.000143119931627917i
5.625,5.625,10,1.8,-0.0200448564136605 + 0.00571600383382601i
5.625,5.625,20,1.8,-0.00718378123529217 + 0.00296173684374129i
5.625,5.625,30,1.8,-0.00630633837417394 + 0.00162993267890654i
5.625,5.625,40,1.8,-0.0104488981477603 + 0.00307958361307608i
5.625,5.625,50,1.8,-0.0859294701179012 + 0.0215097790238833i
5.625,5.625,60,1.8,-0.0033502464956654 + 0.000855739916675702i
5.625,5.625,70,1.8,-0.00490541657144949 - 0.00127746410526996i
5.625,5.625,80,1.8,-0.00588204917472923 - 0.00361911460776013i
5.625,5.625,90,1.8,-0.00476109306245343 - 0.000631454573482449i
5.625,5.625,100,1.8,-0.00489214836966545 + 0.000624957582220883i
5.625,5.625,100.575,1.8,-0.00395365738511533 - 0.00373138692590941i
